[LOG] INFO [IExchangeSimulator::setLoggerLogFile] Logger log file set to: RegressionTests/Baseline/ZeroIntelligenceSimulatorSimpleSantaFeModelLargeTime.baseline.txt
[LOG] INFO Lobster messages:
    time,    type,     oid,     qty,      px,     dir
   55992,       3,   11045,       1,10110000,      -1
   55998,       1,   11101,       1,10020000,       1
   56003,       4,   11102,       1,10030000,      -1
   56008,       2,    1029,       1,10310000,      -1
   56014,       1,   11103,       1,10180000,      -1
   56017,       2,       6,       1, 9930000,       1
   56023,       1,   11104,       1,10270000,      -1
   56026,       2,      20,       1, 9790000,       1
   56032,       1,   11105,       1, 9800000,       1
   56035,       2,      14,       1, 9850000,       1
   56039,       3,      14,       1, 9850000,       1
   56045,       1,   11106,       1, 9910000,       1
   56050,       1,   11107,       1,10170000,      -1
   56053,       3,   11088,       1,10210000,      -1
   56057,       2,    1014,       1,10160000,      -1
   56063,       1,   11108,       1,10210000,      -1
   56068,       1,   11109,       1, 9870000,       1
   56071,       2,       8,       1, 9910000,       1
   56077,       1,   11110,       1,10020000,       1
   56082,       4,   11111,       1,10020000,      -1
   56089,       4,   11112,       1,10020000,      -1
   56096,       4,   11113,       1,10070000,       1
   56101,       3,   11076,       1,10230000,      -1
   56107,       1,   11114,       1, 9950000,      -1
   56110,       2,      26,       1, 9730000,       1
   56114,       3,   11055,       1,10160000,      -1
   56120,       1,   11115,       1,10010000,      -1
   56123,       3,   11091,       1,10080000,      -1
   56127,       2,      26,       1, 9730000,       1
   56131,       3,   11078,       1, 9790000,       1
   56135,       3,   11054,       1, 9760000,       1
   56141,       1,   11116,       1, 9810000,       1
   56144,       2,      25,       1, 9740000,       1
   56150,       4,   11117,       1, 9950000,       1
   56157,       4,   11118,       1,10010000,       1
   56164,       1,   11119,       1,10180000,      -1
   56169,       4,   11120,       1, 9940000,      -1
   56174,       3,   11061,       1, 9780000,       1
   56178,       3,   11005,       1, 9880000,       1
   56182,       3,   11095,       1,10070000,      -1
   56186,       2,    1018,       1,10200000,      -1
   56190,       2,    1009,       1,10110000,      -1
   56196,       1,   11121,       1,10210000,      -1
   56201,       1,   11122,       1,10150000,      -1
   56206,       1,   11123,       1,10210000,      -1
   56209,       2,    1013,       1,10150000,      -1
   56215,       1,   11124,       1, 9890000,       1
   56220,       1,   11125,       1, 9850000,       1
   56225,       1,   11126,       1, 9880000,       1
   56228,       2,    1008,       1,10100000,      -1
   56232,       2,      17,       1, 9820000,       1
   56238,       1,   11127,       1,10170000,      -1
   56241,       3,   11079,       1,10100000,      -1
   56247,       1,   11128,       1,10090000,      -1
   56250,       3,   11125,       1, 9850000,       1
   56256,       1,   11129,       1, 9960000,       1
   56261,       1,   11130,       1,10110000,      -1
   56266,       1,   11131,       1, 9970000,      -1
   56269,       2,      25,       1, 9740000,       1
   56273,       2,    1024,       1,10260000,      -1
   56279,       1,   11132,       1, 9790000,       1
   56284,       1,   11133,       1,10230000,      -1
   56289,       1,   11134,       1, 9740000,       1
   56292,       3,   11094,       1, 9930000,       1
   56296,       3,   11131,       1, 9970000,      -1
   56300,       3,   11122,       1,10150000,      -1
   56306,       4,   11135,       1,10080000,       1
   56313,       4,   11136,       1, 9960000,      -1
   56318,       3,   11106,       1, 9910000,       1
   56324,       1,   11137,       1,10020000,       1
   56329,       1,   11138,       1, 9850000,       1
   56332,       3,      17,       1, 9820000,       1
   56338,       1,   11139,       1,10210000,      -1
   56343,       4,   11140,       1,10080000,       1
   56348,       2,    1018,       1,10200000,      -1
   56354,       1,   11141,       1,10200000,      -1
   56359,       4,   11142,       1,10020000,      -1
   56366,       1,   11143,       1,10000000,      -1
   56371,       4,   11144,       1,10000000,       1
   56376,       3,       8,       1, 9910000,       1
   56382,       1,   11145,       1,10230000,      -1
   56387,       1,   11146,       1,10200000,      -1
   56392,       1,   11147,       1, 9880000,       1
   56397,       1,   11148,       1, 9910000,       1
   56400,       2,      12,       1, 9870000,       1
   56404,       2,      18,       1, 9810000,       1
   56410,       1,   11149,       1,10000000,       1
   56415,       1,   11150,       1,10150000,      -1
   56420,       1,   11151,       1,10040000,      -1
   56425,       1,   11152,       1, 9960000,       1
   56430,       1,   11153,       1,10160000,      -1
   56433,       2,    1025,       1,10270000,      -1
   56437,       2,      15,       1, 9840000,       1
   56443,       1,   11154,       1, 9890000,       1
   56446,       3,   11087,       1, 9840000,       1
   56450,       2,    1022,       1,10240000,      -1
   56454,       2,    1019,       1,10210000,      -1
   56458,       3,   11035,       1,10290000,      -1
   56464,       1,   11155,       1, 9830000,       1
   56469,       4,   11156,       1,10000000,      -1
   56474,       3,   11084,       1,10100000,      -1
   56478,       3,   11108,       1,10210000,      -1
   56482,       2,    1012,       1,10140000,      -1
   56486,       3,   11152,       1, 9960000,       1
   56490,       3,   11070,       1, 9780000,       1
   56496,       1,   11157,       1,10010000,      -1
   56499,       2,    1007,       1,10090000,      -1
   56505,       1,   11158,       1,10090000,      -1
   56510,       1,   11159,       1, 9860000,       1
   56513,       2,    1012,       1,10140000,      -1
   56519,       1,   11160,       1,10070000,      -1
   56524,       4,   11161,       1, 9940000,      -1
   56529,       2,    1018,       1,10200000,      -1
   56535,       1,   11162,       1,10080000,      -1
   56540,       4,   11163,       1,10010000,       1
   56547,       1,   11164,       1, 9970000,      -1
   56552,       1,   11165,       1, 9750000,       1
   56555,       2,      23,       1, 9760000,       1
   56561,       1,   11166,       1,10180000,      -1
   56566,       1,   11167,       1,10060000,      -1
   56571,       1,   11168,       1, 9990000,      -1
   56576,       4,   11169,       1, 9930000,      -1
   56583,       4,   11170,       1, 9920000,      -1
   56590,       1,   11171,       1,10140000,      -1
   56593,       3,   11096,       1,10100000,      -1
   56597,       3,   11080,       1, 9790000,       1
   56603,       1,   11172,       1, 9980000,      -1
   56606,       2,    1020,       1,10220000,      -1
   56612,       1,   11173,       1,10070000,      -1
   56617,       1,   11174,       1, 9790000,       1
   56620,       2,      19,       1, 9800000,       1
   56626,       4,   11175,       1, 9970000,       1
   56633,       4,   11176,       1, 9920000,      -1
   56640,       4,   11177,       1, 9980000,       1
   56647,       1,   11178,       1,10210000,      -1
   56650,       2,    1011,       1,10130000,      -1
   56656,       4,   11179,       1, 9920000,      -1
   56661,       3,   11025,       1,10180000,      -1
